GeographyKey,Customer Name,BirthDate,Mstatus,Gender,YearlyIncome,Education,Occupation,NumberCarsOwned,Address,AddressLine1,PhoneNumber,DateFirstPurchase
5,Wright A James ,10/21/2013,Married,Male,70000,Bachelors,Professional,1,8478 Eastgate Ave.,8478 Eastgate Ave.,+7265550143,10/21/2013
6,Watson I Hailey ,2/8/2013,Married,Female,40000,High School,Skilled Manual,2,9658 Guadalupe Dr.,9658 Guadalupe Dr.,+3335550115,2/8/2013
1,amirez H Bryce ,10/30/2013,Married,Male,40000,High School,Skilled Manual,3,387 Glenside Court,387 Glenside Court,+7655550164,10/30/2013
6,Ross Kaitlyn ,11/23/2013,Married,Female,40000,High School,Skilled Manual,2,8391 Olivera,8391 Olivera,+6835550152,11/23/2013
6,Pillips Jason ,10/6/2013,Married,Male,40000,High School,Skilled Manual,2,2369 Whitehaven Dr.,2369 Whitehaven Dr.,+8085550157,10/6/2013
6,Patterson Natalie ,11/5/2013,Married,Female,40000,High School,Skilled Manual,2,2777 Spring Hill Drive,2777 Spring Hill Drive,+8585550113,11/5/2013
6,Murphy S Eduardo ,11/18/2013,Married,Male,40000,High School,Skilled Manual,2,3032 Smoking Tree Court,3032 Smoking Tree Court,+5955550145,11/18/2013
6,Ward Destiny ,12/13/2013,Married,Female,60000,Partial College,Skilled Manual,1,3935 Hawkins Street,3935 Hawkins Street,+1415550193,12/13/2013
6,Seamans Mike ,9/11/2013,Single,Female,40000,Bachelors,Professional,1,4678 Cardinal Dr.,4678 Cardinal Dr.,+2105550100,9/11/2013
1,Romero Albert ,11/5/2013,Single,Male,40000,Bachelors,Professional,1,45 Linton Terr.,45 Linton Terr.,+4445550178,11/5/2013
